level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	908	486	-1	
2	1	1	0	0	0	0	0	907	1	-1	
3	1	1	1	0	0	0	0	907	1	-1	
4	1	1	1	1	0	0	0	907	1	-1	
5	1	1	1	1	1	0	0	907	1	95.000000	 
2	1	2	0	0	0	0	29	907	1	-1	
3	1	2	1	0	0	0	29	907	1	-1	
4	1	2	1	1	0	0	29	907	1	-1	
5	1	2	1	1	1	0	29	907	1	95.000000	 
2	1	3	0	0	0	25	143	882	1	-1	
3	1	3	1	0	0	25	143	882	1	-1	
4	1	3	1	1	0	25	143	882	1	-1	
5	1	3	1	1	1	25	143	882	1	95.000000	 
2	1	4	0	0	0	0	171	907	1	-1	
3	1	4	1	0	0	0	171	907	1	-1	
4	1	4	1	1	0	0	171	907	1	-1	
5	1	4	1	1	1	0	171	907	1	95.000000	 
2	1	5	0	0	0	25	200	882	1	-1	
3	1	5	1	0	0	25	200	882	1	-1	
4	1	5	1	1	0	25	200	882	1	-1	
5	1	5	1	1	1	25	200	882	1	95.000000	 
2	1	6	0	0	0	25	228	882	1	-1	
3	1	6	1	0	0	25	228	882	1	-1	
4	1	6	1	1	0	25	228	882	1	-1	
5	1	6	1	1	1	25	228	882	1	95.000000	 
2	1	7	0	0	0	0	257	907	1	-1	
3	1	7	1	0	0	0	257	907	1	-1	
4	1	7	1	1	0	0	257	907	1	-1	
5	1	7	1	1	1	0	257	907	1	95.000000	 
2	1	8	0	0	0	25	285	882	1	-1	
3	1	8	1	0	0	25	285	882	1	-1	
4	1	8	1	1	0	25	285	882	1	-1	
5	1	8	1	1	1	25	285	882	1	95.000000	 
2	1	9	0	0	0	25	314	882	1	-1	
3	1	9	1	0	0	25	314	882	1	-1	
4	1	9	1	1	0	25	314	882	1	-1	
5	1	9	1	1	1	25	314	882	1	95.000000	 
2	1	10	0	0	0	25	342	882	1	-1	
3	1	10	1	0	0	25	342	882	1	-1	
4	1	10	1	1	0	25	342	882	1	-1	
5	1	10	1	1	1	25	342	882	1	95.000000	 
2	1	11	0	0	0	0	427	628	2	-1	
3	1	11	1	0	0	0	427	628	2	-1	
4	1	11	1	1	0	0	427	628	2	-1	
5	1	11	1	1	1	0	427	628	2	95.000000	 
2	1	12	0	0	0	4	7	897	472	-1	
3	1	12	1	0	0	64	7	837	19	-1	
4	1	12	1	1	0	64	7	837	19	-1	
5	1	12	1	1	1	64	7	40	19	89.436699	住所
5	1	12	1	1	2	144	9	31	13	56.324730	地区
5	1	12	1	1	3	178	9	29	14	93.910202	番号
5	1	12	1	1	4	274	7	40	19	69.687820	住所
5	1	12	1	1	5	334	1	9	31	35.220604	。
5	1	12	1	1	6	355	9	29	13	95.447159	地区
5	1	12	1	1	7	388	9	29	14	84.003059	番号
5	1	12	1	1	8	484	7	40	19	89.828705	住所
5	1	12	1	1	9	544	1	8	32	53.021820	。
5	1	12	1	1	10	565	9	30	13	96.668243	地区
5	1	12	1	1	11	597	9	30	14	95.332367	番号
5	1	12	1	1	12	724	7	40	19	88.643967	住所
5	1	12	1	1	13	838	9	31	13	96.084366	地区
5	1	12	1	1	14	874	9	27	14	93.572159	番号
3	1	12	2	0	0	5	36	872	131	-1	
4	1	12	2	1	0	5	36	872	17	-1	
5	1	12	2	1	1	5	38	13	13	66.913376	あ
5	1	12	2	1	2	30	38	29	13	3.057861	青
5	1	12	2	1	3	46	29	17	32	0.000000	当
5	1	12	2	1	4	169	36	15	17	79.666084	6
5	1	12	2	1	5	210	29	11	32	38.849941	き
5	1	12	2	1	6	239	38	14	13	38.849941	北
5	1	12	2	1	7	258	38	10	13	65.313889	ゆ
5	1	12	2	1	8	272	38	69	13	0.000000	1<5
5	1	12	2	1	9	314	29	25	32	48.211208	丁
5	1	12	2	1	10	338	29	25	32	90.854607	目
5	1	12	2	1	11	362	29	9	32	0.000000	)
5	1	12	2	1	12	378	36	15	17	52.093643	了
5	1	12	2	1	13	413	29	11	32	90.606026	|
5	1	12	2	1	14	426	39	11	11	94.779671	し
5	1	12	2	1	15	434	29	17	32	73.316673	|
5	1	12	2	1	16	450	38	29	13	58.400833	新
5	1	12	2	1	17	469	29	14	32	0.000000	ゆ
5	1	12	2	1	18	591	36	7	17	91.679924	1
5	1	12	2	1	19	634	38	13	13	66.295929	|
5	1	12	2	1	20	659	38	28	13	0.000000	川
5	1	12	2	1	21	712	39	1	11	84.315796	1
5	1	12	2	1	22	719	38	27	13	24.798536	イ
5	1	12	2	1	23	733	29	17	32	83.453819	目
5	1	12	2	1	24	863	36	14	17	89.978348	3
4	1	12	2	2	0	30	65	847	16	-1	
5	1	12	2	2	1	30	67	28	13	88.860458	有明
5	1	12	2	2	2	169	65	14	16	96.366356	6
5	1	12	2	2	3	240	67	101	13	92.522820	北砂
5	1	12	2	2	4	278	61	12	28	96.065468	6
5	1	12	2	2	5	289	61	10	28	31.255770	ご
5	1	12	2	2	6	298	61	18	28	96.164787	7
5	1	12	2	2	7	315	67	26	13	24.925785	丁目
5	1	12	2	2	8	378	65	15	16	85.373024	4
5	1	12	2	2	9	415	61	8	28	75.642197	|
5	1	12	2	2	10	424	67	12	13	92.077423	す
5	1	12	2	2	11	434	61	17	28	70.947655	|
5	1	12	2	2	12	450	67	28	13	66.205139	住
5	1	12	2	2	13	466	61	15	28	90.114304	吉
5	1	12	2	2	14	588	65	15	16	94.409714	8
5	1	12	2	2	15	659	67	28	13	95.802315	深川
5	1	12	2	2	16	709	68	7	11	95.802315	2
5	1	12	2	2	17	720	68	26	11	76.798241	丁目
5	1	12	2	2	18	863	65	14	16	94.627090	9
4	1	12	2	3	0	5	86	872	30	-1	
5	1	12	2	3	1	5	96	13	11	90.526978	い
5	1	12	2	3	2	25	86	2	30	62.965149	|
5	1	12	2	3	3	30	94	29	14	45.319324	人
5	1	12	2	3	4	163	94	23	16	93.259483	11
5	1	12	2	3	5	240	95	28	13	25.310539	木場
5	1	12	2	3	6	378	94	15	16	93.796967	9
5	1	12	2	3	7	411	83	17	32	88.891129	|
5	1	12	2	3	8	423	95	14	12	6.646643	せ
5	1	12	2	3	9	450	95	28	13	7.133942	l〒
5	1	12	2	3	10	583	94	23	16	0.000000	員
5	1	12	2	3	11	659	94	29	14	49.177055	福住
5	1	12	2	3	12	863	94	14	16	95.988777	3
4	1	12	2	4	0	6	122	871	16	-1	
5	1	12	2	4	1	6	124	11	12	83.358833	う
5	1	12	2	4	2	30	124	43	13	0.000000	海
5	1	12	2	4	3	50	117	13	29	92.910271	の
5	1	12	2	4	4	62	117	15	29	83.042099	森
5	1	12	2	4	5	169	122	14	16	93.071426	6
5	1	12	2	4	6	240	124	13	13	88.875458	清
5	1	12	2	4	7	257	124	11	12	31.527071	浴
5	1	12	2	4	8	378	122	14	16	52.982246	3
5	1	12	2	4	9	450	124	27	12	48.839050	千田
5	1	12	2	4	10	583	122	22	16	91.572639	11
5	1	12	2	4	11	660	124	28	13	77.216545	冬木
5	1	12	2	4	12	863	122	14	16	91.999695	9
4	1	12	2	5	0	30	151	847	16	-1	
5	1	12	2	5	1	30	152	29	14	47.299465	海辺
5	1	12	2	5	2	163	151	23	16	93.000427	11
5	1	12	2	5	3	240	152	28	14	90.411774	佐賀
5	1	12	2	5	4	378	151	15	16	87.182968	3
5	1	12	2	5	5	411	144	14	32	76.088799	|
5	1	12	2	5	6	423	153	13	12	96.350128	た
5	1	12	2	5	7	435	144	17	32	94.277687	|
5	1	12	2	5	8	450	152	28	14	0.000000	融和
5	1	12	2	5	9	588	151	15	16	79.122772	回
5	1	12	2	5	10	660	152	12	13	89.725235	古
5	1	12	2	5	11	674	153	14	12	0.000000	有
5	1	12	2	5	12	689	153	14	13	0.000000	場
5	1	12	2	5	13	863	151	14	16	95.049004	3
3	1	12	3	0	0	5	179	873	73	-1	
4	1	12	3	1	0	5	179	872	16	-1	
5	1	12	3	1	1	5	181	13	12	62.493671	え
5	1	12	3	1	2	30	181	28	13	2.074070	衣
5	1	12	3	1	3	46	174	16	29	0.000000	代
5	1	12	3	1	4	169	179	14	16	60.274921	3
5	1	12	3	1	5	239	181	14	13	40.973236	猿
5	1	12	3	1	6	259	181	9	12	50.958687	江
5	1	12	3	1	7	372	179	23	16	92.808701	11
5	1	12	3	1	8	450	181	28	12	66.482483	辰己
5	1	12	3	1	9	583	179	27	16	89.827469	12
5	1	12	3	1	10	624	174	10	30	89.827469	|
5	1	12	3	1	11	634	181	13	12	92.149818	ほ
5	1	12	3	1	12	659	181	29	13	41.089256	特有
5	1	12	3	1	13	679	174	13	30	37.093388	凡
5	1	12	3	1	14	863	179	14	16	58.449326	3
4	1	12	3	2	0	30	208	848	16	-1	
5	1	12	3	2	1	30	209	28	13	54.131702	枝川
5	1	12	3	2	2	163	208	28	16	88.175072	12
5	1	12	3	2	3	240	209	28	14	94.533142	塩浜
5	1	12	3	2	4	291	210	2	12	96.307343	1
5	1	12	3	2	5	299	210	27	12	56.620640	丁目
5	1	12	3	2	6	378	208	15	16	84.779999	6
5	1	12	3	2	7	424	210	12	12	91.409149	と
5	1	12	3	2	8	434	203	18	29	87.896286	|
5	1	12	3	2	9	450	209	29	14	34.243164	東
5	1	12	3	2	10	470	203	13	29	0.000000	得
5	1	12	3	2	11	588	208	15	16	88.190414	9
5	1	12	3	2	12	622	203	13	29	66.267487	|
5	1	12	3	2	13	633	210	14	12	91.287331	み
5	1	12	3	2	14	649	203	13	29	0.000000	了
5	1	12	3	2	15	659	209	29	14	87.168976	南
5	1	12	3	2	16	678	203	15	29	81.000542	ゆ
5	1	12	3	2	17	705	210	37	12	92.570374	1・5
5	1	12	3	2	18	759	210	28	12	29.619074	丁目
5	1	12	3	2	19	863	208	15	16	80.544220	7
4	1	12	3	3	0	30	232	842	29	-1	
5	1	12	3	3	1	30	237	43	14	8.546333	越中島
5	1	12	3	3	2	169	236	9	16	13.946323	に
5	1	12	3	3	3	177	232	10	29	65.997826	】
5	1	12	3	3	4	240	237	28	13	93.919388	塩浜
5	1	12	3	3	5	289	238	7	12	94.189499	2
5	1	12	3	3	6	301	238	25	12	58.839069	丁目
5	1	12	3	3	7	372	236	28	16	86.553589	12
5	1	12	3	3	8	450	232	33	29	53.613045	常盤
5	1	12	3	3	9	588	236	9	16	63.043373	に
5	1	12	3	3	10	596	232	10	29	63.036011	)
5	1	12	3	3	11	660	237	71	13	67.348137	南砂
5	1	12	3	3	12	701	231	13	29	96.293892	2
5	1	12	3	3	13	714	231	10	29	49.985855	て
5	1	12	3	3	14	738	242	63	4	0.000000	4・6…7
5	1	12	3	3	15	808	238	11	12	19.008846	目
5	1	12	3	3	16	865	236	7	16	96.867561	1
3	1	12	4	0	0	4	264	876	159	-1	
4	1	12	4	1	0	5	264	873	17	-1	
5	1	12	4	1	1	5	266	13	13	90.246880	お
5	1	12	4	1	2	30	266	14	13	0.000000	必
5	1	12	4	1	3	45	266	14	13	0.000000	往
5	1	12	4	1	4	163	264	23	17	92.548531	11
5	1	12	4	1	5	240	266	13	13	41.803993	湖
5	1	12	4	1	6	258	266	10	13	72.556480	見
5	1	12	4	1	7	372	264	28	17	82.518150	12
5	1	12	4	1	8	450	266	28	13	72.715775	冨岡
5	1	12	4	1	9	588	264	15	17	59.037605	き
5	1	12	4	1	10	659	266	29	13	41.150124	三好
5	1	12	4	1	11	693	267	38	12	5.467634	13
5	1	12	4	1	12	733	267	28	12	34.869171	丁目
5	1	12	4	1	13	863	264	15	17	69.466774	ら
4	1	12	4	2	0	30	293	850	16	-1	
5	1	12	4	2	1	30	295	14	12	88.393661	大
5	1	12	4	2	2	51	294	17	13	90.031792	島
5	1	12	4	2	3	68	294	63	13	20.064974	1<2
5	1	12	4	2	4	106	287	20	30	43.289791	丁
5	1	12	4	2	5	126	287	20	30	92.720596	目
5	1	12	4	2	6	146	287	10	30	84.979286	|
5	1	12	4	2	7	169	293	14	16	95.474068	8
5	1	12	4	2	8	240	294	28	13	48.841118	東雲
5	1	12	4	2	9	378	293	15	16	95.611633	6
5	1	12	4	2	10	450	294	28	13	85.098167	豊洲
5	1	12	4	2	11	588	293	15	16	94.603149	6
5	1	12	4	2	12	659	295	14	11	55.852684	三
5	1	12	4	2	13	677	294	10	13	53.736053	時
5	1	12	4	2	14	690	295	11	12	54.914036	4
5	1	12	4	2	15	705	295	26	12	60.506798	丁目
5	1	12	4	2	16	857	293	23	16	91.946426	11
4	1	12	4	3	0	30	321	848	17	-1	
5	1	12	4	3	1	30	323	102	13	86.991554	大
5	1	12	4	3	2	57	315	16	31	64.631210	鳥
5	1	12	4	3	3	72	323	35	13	5.757303	3<7
5	1	12	4	3	4	106	315	21	31	60.491741	丁
5	1	12	4	3	5	126	315	19	31	44.028008	目
5	1	12	4	3	6	152	315	4	31	17.369862	|
5	1	12	4	3	7	163	321	28	17	61.608208	10
5	1	12	4	3	8	240	323	101	13	21.450039	白光
5	1	12	4	3	9	276	316	15	30	0.000000	1
5	1	12	4	3	10	291	316	10	30	69.871948	ご
5	1	12	4	3	11	301	316	15	30	95.203766	3
5	1	12	4	3	12	316	316	45	30	91.682533	丁目
5	1	12	4	3	13	361	316	10	30	49.186935	|)
5	1	12	4	3	14	378	321	15	17	65.146866	5
5	1	12	4	3	15	424	324	13	12	53.279465	ひ
5	1	12	4	3	16	433	316	18	30	80.081230	|
5	1	12	4	3	17	451	323	13	13	88.474182	東
5	1	12	4	3	18	468	323	6	13	0.000000	了
5	1	12	4	3	19	473	316	11	30	93.017143	ゆ
5	1	12	4	3	20	483	324	5	12	10.602837	1
5	1	12	4	3	21	501	328	7	4	0.000000	一
5	1	12	4	3	22	511	324	10	12	96.787285	5
5	1	12	4	3	23	524	323	27	13	49.669498	本目)
5	1	12	4	3	24	588	321	15	17	87.942490	4
5	1	12	4	3	25	634	323	13	13	83.643250	も
5	1	12	4	3	26	646	316	15	30	79.083794	|
5	1	12	4	3	27	659	323	29	13	67.252670	毛利
5	1	12	4	3	28	863	321	15	17	96.519966	8
4	1	12	4	4	0	25	344	852	30	-1	
5	1	12	4	4	1	25	351	106	21	5.268259	大
5	1	12	4	4	2	53	344	16	32	74.706863	島
5	1	12	4	4	3	69	351	54	21	0.000000	8-9T
5	1	12	4	4	4	122	344	22	32	85.359825	目
5	1	12	4	4	5	143	344	12	32	74.284042	|
5	1	12	4	4	6	168	350	15	16	90.607109	4
5	1	12	4	4	7	240	351	36	13	31.777887	白河
5	1	12	4	4	8	276	344	10	30	96.848625	4
5	1	12	4	4	9	286	352	25	12	64.827065	丁目
5	1	12	4	4	10	372	350	23	16	91.848755	11
5	1	12	4	4	11	450	351	101	13	49.374691	東砂
5	1	12	4	4	12	484	345	16	29	96.903419	6
5	1	12	4	4	13	499	345	13	29	50.920292	一
5	1	12	4	4	14	511	351	27	13	93.028419	8
5	1	12	4	4	15	537	345	25	29	3.282642	目
5	1	12	4	4	16	569	345	6	29	0.000000	。
5	1	12	4	4	17	591	350	7	16	96.705765	1
5	1	12	4	4	18	659	351	38	13	51.806679	森下
5	1	12	4	4	19	697	344	8	30	15.755119	1
5	1	12	4	4	20	715	352	15	12	0.000000	4
5	1	12	4	4	21	733	352	27	12	82.249802	丁目
5	1	12	4	4	22	863	350	14	16	96.180145	5
4	1	12	4	5	0	4	378	876	17	-1	
5	1	12	4	5	1	4	380	14	12	90.353386	か
5	1	12	4	5	2	36	379	32	14	54.747284	亀戸
5	1	12	4	5	3	72	372	29	31	17.547941	1<3
5	1	12	4	5	4	104	381	14	12	0.000000	本
5	1	12	4	5	5	124	380	8	13	40.047985	目
5	1	12	4	5	6	169	378	15	17	40.047985	8
5	1	12	4	5	7	240	380	14	13	93.179626	新
5	1	12	4	5	8	259	380	9	13	92.634636	大
5	1	12	4	5	9	272	380	11	13	58.272823	橋
5	1	12	4	5	10	378	378	15	17	48.843098	回
5	1	12	4	5	11	450	380	14	13	0.000000	畔
5	1	12	4	5	12	471	380	17	13	44.516594	野
5	1	12	4	5	13	488	380	63	13	0.000000	1<3T
5	1	12	4	5	14	543	373	23	30	86.700722	目
5	1	12	4	5	15	566	373	10	30	64.633385	|
5	1	12	4	5	16	588	378	15	17	86.553741	ら
5	1	12	4	5	17	660	380	28	13	94.470909	森下
5	1	12	4	5	18	692	380	9	12	95.509911	5
5	1	12	4	5	19	705	380	26	13	72.416420	丁目
5	1	12	4	5	20	857	378	23	17	91.520111	11
4	1	12	4	6	0	30	402	847	29	-1	
5	1	12	4	6	1	30	408	42	13	0.000000	亀戸
5	1	12	4	6	2	71	401	30	29	0.000000	4ー9
5	1	12	4	6	3	105	409	23	12	55.365696	丁
5	1	12	4	6	4	127	401	20	29	88.353729	目
5	1	12	4	6	5	146	401	11	29	62.639137	|
5	1	12	4	6	6	169	407	14	16	41.674023	の
5	1	12	4	6	7	240	408	43	13	40.839367	新木場
5	1	12	4	6	8	372	407	28	16	87.334305	12
5	1	12	4	6	9	450	402	35	29	95.555954	平野
5	1	12	4	6	10	484	409	8	11	96.314186	4
5	1	12	4	6	11	496	409	25	12	65.894623	丁目
5	1	12	4	6	12	583	407	22	16	92.925468	11
5	1	12	4	6	13	660	408	28	13	94.069710	門前
5	1	12	4	6	14	694	408	23	13	55.537628	仲町
5	1	12	4	6	15	863	407	14	16	75.740364	3
3	1	12	5	0	0	634	435	251	17	-1	
4	1	12	5	1	0	634	435	251	17	-1	
5	1	12	5	1	1	634	437	13	13	66.081810	い
5	1	12	5	1	2	650	429	14	31	95.563187	|
5	1	12	5	1	3	659	436	44	14	90.273323	夢の島
5	1	12	5	1	4	857	435	28	17	84.173714	12
3	1	12	6	0	0	634	463	250	16	-1	
4	1	12	6	1	0	634	463	250	16	-1	
5	1	12	6	1	1	634	465	13	12	81.509834	わ
5	1	12	6	1	2	659	465	29	13	37.737717	若
5	1	12	6	1	3	679	458	12	28	0.000000	油
5	1	12	6	1	4	857	463	27	16	90.703087	12
2	1	13	0	0	0	630	484	277	1	-1	
3	1	13	1	0	0	630	484	277	1	-1	
4	1	13	1	1	0	630	484	277	1	-1	
5	1	13	1	1	1	630	484	277	1	95.000000	 
